Date,Adj Close ($)
9/30/22,86.61274719
6/30/22,84.13857269
3/31/22,80.31930542
12/31/21,58.85520554
9/30/21,55.82538986
6/30/21,58.9758606
3/31/21,51.44807053
12/31/20,37.3504715
9/30/20,30.37444687
6/30/20,38.80181122
3/31/20,32.31846619
12/31/19,58.55317688
9/30/19,58.54361725
6/30/19,62.75458908
3/31/19,65.41964722
12/31/18,54.60375977
9/30/18,67.39731598
6/30/18,64.91244507
3/31/18,57.95383072
12/31/17,64.31031799
9/30/17,62.45594025
6/30/17,60.91320038
3/31/17,61.30014038
12/31/16,66.85546875
9/30/16,64.08074188
6/30/16,68.24170685
3/31/16,60.34545898
12/31/15,55.76766968
9/30/15,52.73243332
6/30/15,58.4622345
3/31/15,59.23710251
12/31/14,63.94770813
9/30/14,64.5881424
6/30/14,68.66291046
3/31/14,66.16766357
12/31/13,68.07000732
9/30/13,57.48184204
6/30/13,59.94694138
3/31/13,59.3769722
12/31/12,56.66909027
9/30/12,59.50481796
6/30/12,55.31932068
3/31/12,55.6856041
